migPhaseTable	0100001100100011010100110000101100000101000000000000000000000000#planned:false:true:true:false;copying:false:true:true:false;catching-up:false:true:true:false;cutover:false:true:true:true;cleanup:false:false:false:false;completed:true:false:false:false;aborted:true:false:false:false;failed:true:false:false:false;
migPlanProgress	hotspot,rebalance,drain-node,region-locality,capacity-pressure,operator|migration-42|migration-0|64#0:false:3000:0:0:0:850000:950000:980000:1000000:0:0#500000:false:3000:0:0:400000:850000:950000:980000:1000000:400000:400000#641026:false:3000:0:0:512821:850000:950000:980000:1000000:512821:512821#1000000:true:3000:0:0:800000:850000:950000:980000:1000000:800000:800000#1000000:true:3000:0:0:800000:850000:950000:980000:1000000:800000:800000#333333:false:3000:0:0:266667:850000:950000:980000:1000000:266667:266667
migPlanNew	err:source and destination are both 'db-a'#planned|migration-9:7:s:d:hotspot:77:156:3|156:0:0:0:77:77|-1|-1|-|-1|-||0|false|false|s|s
migReadsServable	planned|migration-1:42:db-a:db-b:rebalance:1000:156:64|156:0:0:0:1000:1000|-1|-1|-|-1|-||0|false|false|db-a|db-a#ok#copying|migration-1:42:db-a:db-b:rebalance:1000:156:64|156:0:0:0:2000:2000|-1|-1|-|-1|-|planned>copying@2000|0|false|false|db-a|db-a#ok#copying|migration-1:42:db-a:db-b:rebalance:1000:156:64|156:156:1:0:2000:3000|-1|-1|-|-1|-|planned>copying@2000|0|false|false|db-a|db-a#ok#catching-up|migration-1:42:db-a:db-b:rebalance:1000:156:64|156:156:1:0:4000:4000|-1|-1|-|-1|-|planned>copying@2000;copying>catching-up@4000|0|false|false|db-a|db-a#ok#cutover|migration-1:42:db-a:db-b:rebalance:1000:156:64|156:156:1:0:5000:5000|-1|-1|5000:-1|-1|-|planned>copying@2000;copying>catching-up@4000;catching-up>cutover@5000|0|false|false|db-a|-#ok#cleanup|migration-1:42:db-a:db-b:rebalance:1000:156:64|156:156:1:0:5100:5100|-1|-1|5000:-1|5100|-|planned>copying@2000;copying>catching-up@4000;catching-up>cutover@5000;cutover>cleanup@5100|0|true|false|db-b|db-b#ok#completed|migration-1:42:db-a:db-b:rebalance:1000:156:64|156:156:1:0:6000:6000|-1|-1|5000:-1|5100|completed@6000|planned>copying@2000;copying>catching-up@4000;catching-up>cutover@5000;cutover>cleanup@5100;cleanup>completed@6000|0|true|true|db-b|db-b#migration-1:42:db-a:db-b:completed:156:156:1:0:1000000:1000:db-b:db-b:completed@6000
migUndrained	ok#source#source#ok#ok#ok#catching-up|migration-1:42:db-a:db-b:rebalance:1000:156:64|156:156:4096:0:4000:4100|1|1|-|-1|-|planned>copying@2000;copying>catching-up@4000|0|false|false|db-a|db-a#source#ok#cutover|migration-1:42:db-a:db-b:rebalance:1000:156:64|156:156:4096:1:5000:5000|2|1|5000:2|-1|-|planned>copying@2000;copying>catching-up@4000;catching-up>cutover@5000|1|false|false|db-a|-#err:cutover cannot complete with 1 writes still unapplied#cutover|migration-1:42:db-a:db-b:rebalance:1000:156:64|156:156:4096:1:5000:5000|2|1|5000:2|-1|-|planned>copying@2000;copying>catching-up@4000;catching-up>cutover@5000|1|false|false|db-a|-#ok#ok#cleanup|migration-1:42:db-a:db-b:rebalance:1000:156:64|156:156:4096:0:5200:5200|2|2|5000:2|5200|-|planned>copying@2000;copying>catching-up@4000;catching-up>cutover@5000;cutover>cleanup@5200|0|true|false|db-b|db-b
migNoDoubleApply	ok#source#source#ok#ok#ok#catching-up|migration-1:42:db-a:db-b:rebalance:1000:156:64|156:156:4096:0:4000:4100|1|1|-|-1|-|planned>copying@2000;copying>catching-up@4000|0|false|false|db-a|db-a#ok#ok#err:write #1 was already applied (destination is at #1)#destination#err:write #2 was already applied (destination is at #2)#destination#cleanup|migration-1:42:db-a:db-b:rebalance:1000:156:64|156:156:4096:0:5100:5100|1|5|5000:1|5100|-|planned>copying@2000;copying>catching-up@4000;catching-up>cutover@5000;cutover>cleanup@5100|0|true|false|db-b|db-b
migFenced	ok#source#source#ok#ok#ok#catching-up|migration-1:42:db-a:db-b:rebalance:1000:156:64|156:156:4096:0:4000:4100|1|1|-|-1|-|planned>copying@2000;copying>catching-up@4000|0|false|false|db-a|db-a#ok#err:shard 42 is fenced for cutover from 'db-a' to 'db-b'; retry#migration-1:42:db-a:db-b:cutover:156:156:4096:0:950000:500:db-a:-:-
migReplay	ok#source#err:write #7 is not past the high-water mark #7#err:write #3 is not past the high-water mark #7#copying|migration-1:42:db-a:db-b:rebalance:1000:156:64|156:0:0:8:2000:2000|7|-1|-|-1|-|planned>copying@2000|8|false|false|db-a|db-a
migUnknownWrite	err:write #0 was never accepted by the source#ok#source#err:write #9 was never accepted by the source (high-water #3)#ok#err:write #2 was already applied (destination is at #2)#err:write #1 was already applied (destination is at #2)#copying|migration-1:42:db-a:db-b:rebalance:1000:156:64|156:0:0:1:2000:2600|3|2|-|-1|-|planned>copying@2000|1|false|false|db-a|db-a
migCopyIncomplete	err:operation requires phase copying, migration is planned#err:operation requires phase copying, migration is planned#ok#err:a migration cannot go from copying to copying#ok#err:only 100 of 156 atoms have been copied#err:reported 157 atoms copied, the shard has 156#err:reported 99 atoms copied, 100 were already recorded#ok#err:operation requires phase catching-up, migration is copying#copying|migration-1:42:db-a:db-b:rebalance:1000:156:64|156:100:1:0:2000:2500|-1|-1|-|-1|-|planned>copying@2000|0|false|false|db-a|db-a
